app_id,game_name,player_count,timestamp,day_of_week,day_name,hour_of_day,date_only
440,Team Fortress 2,35301,2025-09-17 22:37:19.732592+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,801762,2025-09-17 22:37:19.740391+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,39145,2025-09-17 22:42:19.857912+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3402,2025-09-17 22:42:19.860051+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,777279,2025-09-17 22:42:19.860933+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,444808,2025-09-17 22:42:19.86445+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,32528,2025-09-17 22:42:19.994064+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,39145,2025-09-17 22:47:19.852152+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,32528,2025-09-17 22:47:19.857207+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,444808,2025-09-17 22:47:19.859026+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3347,2025-09-17 22:47:19.859721+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,777279,2025-09-17 22:47:19.861706+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,444808,2025-09-17 22:52:19.907411+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,777279,2025-09-17 22:52:19.908547+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3347,2025-09-17 22:52:19.911505+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,39145,2025-09-17 22:52:19.933751+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,32528,2025-09-17 22:52:19.935997+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,438569,2025-09-17 22:57:19.979672+00,3,Wednesday,22,2025-09-17 00:00:00+00
271590,GTA V,37735,2025-09-17 22:57:19.991103+00,3,Wednesday,22,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3347,2025-09-17 22:57:19.993094+00,3,Wednesday,22,2025-09-17 00:00:00+00
730,Counter-Strike 2,756116,2025-09-17 22:57:19.996159+00,3,Wednesday,22,2025-09-17 00:00:00+00
440,Team Fortress 2,35350,2025-09-17 22:57:20.09491+00,3,Wednesday,22,2025-09-17 00:00:00+00
570,Dota 2,438569,2025-09-17 23:02:20.042723+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,756116,2025-09-17 23:02:20.043225+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,37735,2025-09-17 23:02:20.045119+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35350,2025-09-17 23:02:20.047347+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3233,2025-09-17 23:02:20.049192+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,756116,2025-09-17 23:07:20.091497+00,3,Wednesday,23,2025-09-17 00:00:00+00
271590,GTA V,37735,2025-09-17 23:07:20.093616+00,3,Wednesday,23,2025-09-17 00:00:00+00
570,Dota 2,436437,2025-09-17 23:07:20.099444+00,3,Wednesday,23,2025-09-17 00:00:00+00
440,Team Fortress 2,35350,2025-09-17 23:07:20.104049+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3233,2025-09-17 23:07:20.108413+00,3,Wednesday,23,2025-09-17 00:00:00+00
730,Counter-Strike 2,733835,2025-09-17 23:12:20.056302+00,3,Wednesday,23,2025-09-17 00:00:00+00
1172620,Sea of Thieves,3233,2025-09-17 23:12:20.07063+00,3,Wednesday,23,2025-09-17 00:00:00+00
